slot_id,scale,instance_key,repetition,order,order_index,mode,status,returncode,cold_start_total_sec,exact,redlines_zero,engine_hash_valid,engine_build_hash,objective,certificate_scope,live_sri_policy_name,live_cut_policy_hash,max_active_cut_count,launcher_termination_reason,peak_process_tree_rss_gb,minimum_available_memory_gb,run_dir
s005:instance_009:r04:o2:no_cut,5,instance_009,4,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.401455,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004543,12.828548,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_04/2_no_cut/attempt_01
s005:instance_009:r05:o1:no_cut,5,instance_009,5,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.379296,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004326,12.823574,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_05/1_no_cut/attempt_01
s005:instance_009:r05:o2:live,5,instance_009,5,no_cut/live,2,live,EXACT_CLOSED,0,0.375776,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004768,12.822865,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_05/2_live/attempt_01
s005:instance_009:r06:o1:live,5,instance_009,6,live/no_cut,1,live,EXACT_CLOSED,0,0.410061,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004532,12.822258,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_06/1_live/attempt_01
s005:instance_009:r06:o2:no_cut,5,instance_009,6,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.406049,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004478,12.823174,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_06/2_no_cut/attempt_01
s005:instance_009:r07:o1:no_cut,5,instance_009,7,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.401124,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004555,12.819424,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_07/1_no_cut/attempt_01
s005:instance_009:r07:o2:live,5,instance_009,7,no_cut/live,2,live,EXACT_CLOSED,0,0.402058,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004372,12.821362,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_07/2_live/attempt_01
s005:instance_009:r08:o1:live,5,instance_009,8,live/no_cut,1,live,EXACT_CLOSED,0,0.394155,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,P0,9f0e7c4f7e2cab50267e197d55a17950aeee35aad388e47448f24873a7e92ba1,0,,0.004585,12.822124,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_08/1_live/attempt_01
s005:instance_009:r08:o2:no_cut,5,instance_009,8,live/no_cut,2,no_cut,EXACT_CLOSED,0,0.435252,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004543,12.821541,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_08/2_no_cut/attempt_01
s005:instance_009:r09:o1:no_cut,5,instance_009,9,no_cut/live,1,no_cut,EXACT_CLOSED,0,0.404901,True,True,True,dfaedf6d273c5c56,2.096863,BPC_TREE_OPTIMAL,no_cut,37c44c29594e0b8b0ba429e5dd3cf7422c07ae17222bb31e16e31e57030d5e63,0,,0.004326,12.813683,/home/kai/work/GAT_BPC_moonTerk/runs/native_live_sri_v1_p0_frozen_paired_promotion_clean_v2_20260722/raw/scale_005/instance_009_logical_graph/repeat_09/1_no_cut/attempt_01
