timestamp_utc,scale,instance_id,attempt,root_pid,tree_rss_kb,mem_available_kb,swap_free_kb,swap_total_kb,disk_free_bytes
2026-07-22T02:56:37.066351+00:00,20,instance_005_logical_graph,1,1319600,6408,13285156,4191976,4194304,882334154752
2026-07-22T02:56:52.069643+00:00,20,instance_005_logical_graph,1,1319600,0,13294920,4191976,4194304,882331340800
2026-07-22T02:56:52.192773+00:00,20,instance_006_logical_graph,1,1323746,5592,13297140,4191976,4194304,882331328512
2026-07-22T02:57:02.146844+00:00,20,instance_006_logical_graph,1,1323746,0,13289800,4191976,4194304,882328657920
2026-07-22T02:57:02.270091+00:00,20,instance_007_logical_graph,1,1325776,6344,13296384,4191976,4194304,882328637440
2026-07-22T02:57:10.273090+00:00,20,instance_007_logical_graph,1,1325776,0,13297616,4191976,4194304,882325032960
2026-07-22T02:57:10.398854+00:00,20,instance_008_logical_graph,1,1328134,5956,13297980,4191976,4194304,882325020672
2026-07-22T02:57:32.374097+00:00,20,instance_008_logical_graph,1,1328134,0,13292876,4191976,4194304,882321199104
2026-07-22T02:57:32.501634+00:00,20,instance_009_logical_graph,1,1333411,6216,13290828,4191976,4194304,882321186816
2026-07-22T02:57:50.518466+00:00,20,instance_009_logical_graph,1,1333411,0,13297220,4191976,4194304,882317627392
2026-07-22T02:57:50.654581+00:00,20,instance_010_logical_graph,1,1338618,5968,13292788,4191976,4194304,882317615104
2026-07-22T02:58:56.515093+00:00,20,instance_010_logical_graph,1,1338618,706184,12630896,4191976,4194304,882314379264
2026-07-22T02:59:24.472874+00:00,20,instance_010_logical_graph,1,1338618,0,13292092,4191976,4194304,882313494528
2026-07-22T02:59:24.614937+00:00,20,instance_011_logical_graph,1,1362378,6400,13287024,4191976,4194304,882313478144
2026-07-22T03:00:05.589178+00:00,20,instance_011_logical_graph,1,1362378,0,13295764,4191976,4194304,882310041600
2026-07-22T03:00:05.738248+00:00,20,instance_012_logical_graph,1,1372464,6168,13295084,4191976,4194304,882310029312
2026-07-22T03:01:11.638295+00:00,20,instance_012_logical_graph,1,1372464,806760,12529040,4191976,4194304,882306338816
2026-07-22T03:02:17.552857+00:00,20,instance_012_logical_graph,1,1372464,806776,12526912,4191976,4194304,882306314240
2026-07-22T03:02:27.555655+00:00,20,instance_012_logical_graph,1,1372464,0,13296248,4191976,4194304,882305183744
2026-07-22T03:02:27.717488+00:00,20,instance_013_logical_graph,1,1408859,6212,13299444,4191976,4194304,882305171456
2026-07-22T03:02:54.678706+00:00,20,instance_013_logical_graph,1,1408859,0,13296844,4191976,4194304,882300985344
2026-07-22T03:02:54.839037+00:00,20,instance_014_logical_graph,1,1415754,6304,13290268,4191976,4194304,882300973056
2026-07-22T03:03:10.841935+00:00,20,instance_014_logical_graph,1,1415754,0,13298844,4191976,4194304,882295488512
2026-07-22T03:03:11.003981+00:00,20,instance_015_logical_graph,1,1420491,6136,13293784,4191976,4194304,882295476224
2026-07-22T03:04:16.903884+00:00,20,instance_015_logical_graph,1,1420491,628396,12722948,4191976,4194304,882291814400
2026-07-22T03:04:46.886869+00:00,20,instance_015_logical_graph,1,1420491,0,13312072,4191976,4194304,882290597888
2026-07-22T03:04:47.053962+00:00,20,instance_016_logical_graph,1,1445766,5632,13311980,4191976,4194304,882290577408
2026-07-22T03:05:50.915317+00:00,20,instance_016_logical_graph,1,1445766,0,13309580,4191976,4194304,882285776896
2026-07-22T03:05:51.088220+00:00,20,instance_017_logical_graph,1,1462599,5748,13308296,4191976,4194304,882285764608
2026-07-22T03:06:44.056718+00:00,20,instance_017_logical_graph,1,1462599,0,13313480,4191976,4194304,882281893888
2026-07-22T03:06:44.229543+00:00,20,instance_018_logical_graph,1,1476991,6212,13309464,4191976,4194304,882281881600
2026-07-22T03:06:54.232160+00:00,20,instance_018_logical_graph,1,1476991,0,13316580,4191976,4194304,882277773312
2026-07-22T03:06:54.419349+00:00,20,instance_019_logical_graph,1,1479866,6272,13313932,4191976,4194304,882277756928
2026-07-22T03:07:34.347235+00:00,20,instance_019_logical_graph,1,1479866,0,13318156,4191976,4194304,882274574336
2026-07-22T03:07:34.535478+00:00,20,instance_020_logical_graph,1,1489689,6236,13315016,4191976,4194304,882274557952
2026-07-22T03:07:44.538178+00:00,20,instance_020_logical_graph,1,1489689,0,13319064,4191976,4194304,882270576640
2026-07-22T03:07:44.734174+00:00,30,instance_001_logical_graph,1,1492698,5936,13313176,4191976,4194304,882270560256
2026-07-22T03:08:50.603265+00:00,30,instance_001_logical_graph,1,1492698,1990824,11371412,4191976,4194304,882270449664
2026-07-22T03:09:56.533188+00:00,30,instance_001_logical_graph,1,1492698,2233444,11121992,4191976,4194304,882270441472
2026-07-22T03:10:22.537277+00:00,30,instance_001_logical_graph,1,1492698,0,13314036,4191976,4194304,882257936384
2026-07-22T03:10:22.777504+00:00,30,instance_002_logical_graph,1,1535125,5936,13312076,4191976,4194304,882257903616
2026-07-22T03:11:28.681432+00:00,30,instance_002_logical_graph,1,1535125,2152496,11199224,4191976,4194304,882257780736
2026-07-22T03:12:34.608973+00:00,30,instance_002_logical_graph,1,1535125,2037776,11312592,4191976,4194304,882246348800
2026-07-22T03:13:41.656622+00:00,30,instance_002_logical_graph,1,1535125,2038032,11307760,4191976,4194304,882246291456
2026-07-22T03:14:48.889964+00:00,30,instance_002_logical_graph,1,1535125,2511960,10837308,4191976,4194304,882246246400
2026-07-22T03:15:56.114577+00:00,30,instance_002_logical_graph,1,1535125,2462968,10874908,4191976,4194304,882246201344
2026-07-22T03:16:59.764009+00:00,30,instance_002_logical_graph,1,1535125,2462968,10875968,4191976,4194304,882246172672
2026-07-22T03:18:06.937987+00:00,30,instance_002_logical_graph,1,1535125,2462984,10876412,4191976,4194304,882246127616
2026-07-22T03:19:14.185536+00:00,30,instance_002_logical_graph,1,1535125,2462992,10879716,4191976,4194304,882249818112
2026-07-22T03:20:21.399693+00:00,30,instance_002_logical_graph,1,1535125,2463012,10879676,4191976,4194304,882247946240
2026-07-22T03:21:28.550340+00:00,30,instance_002_logical_graph,1,1535125,2465296,10882900,4191976,4194304,882246451200
2026-07-22T03:21:59.149666+00:00,30,instance_002_logical_graph,1,1535125,0,13307316,4191976,4194304,882245439488
2026-07-22T03:21:59.385838+00:00,30,instance_003_logical_graph,1,1699231,6128,13309344,4191976,4194304,882245427200
2026-07-22T03:23:06.625533+00:00,30,instance_003_logical_graph,1,1699231,1449364,11903320,4191976,4194304,882245238784
2026-07-22T03:24:10.238895+00:00,30,instance_003_logical_graph,1,1699231,1485760,11863004,4191976,4194304,882234437632
2026-07-22T03:25:17.461271+00:00,30,instance_003_logical_graph,1,1699231,1485808,11864372,4191976,4194304,882234392576
2026-07-22T03:25:36.085866+00:00,30,instance_003_logical_graph,1,1699231,0,13294936,4191976,4194304,882233339904
2026-07-22T03:25:36.325639+00:00,30,instance_004_logical_graph,1,1751667,6116,13292624,4191976,4194304,882233323520
2026-07-22T03:26:43.544771+00:00,30,instance_004_logical_graph,1,1751667,2199116,11156168,4191976,4194304,882233253888
2026-07-22T03:27:47.171332+00:00,30,instance_004_logical_graph,1,1751667,2199344,11154316,4191976,4194304,882233212928
2026-07-22T03:28:54.413779+00:00,30,instance_004_logical_graph,1,1751667,2107732,11240888,4191976,4194304,882222268416
2026-07-22T03:30:01.605263+00:00,30,instance_004_logical_graph,1,1751667,1134724,12210212,4191976,4194304,882222235648
2026-07-22T03:31:08.850171+00:00,30,instance_004_logical_graph,1,1751667,1134828,12215380,4191976,4194304,882222166016
2026-07-22T03:32:16.092814+00:00,30,instance_004_logical_graph,1,1751667,1137180,12210836,4191976,4194304,882222129152
2026-07-22T03:32:45.709084+00:00,30,instance_004_logical_graph,1,1751667,0,13294452,4191976,4194304,882220834816
2026-07-22T03:32:45.967248+00:00,30,instance_005_logical_graph,1,1854853,6212,13300876,4191976,4194304,882220822528
2026-07-22T03:33:49.572019+00:00,30,instance_005_logical_graph,1,1854853,2267928,11078208,4191976,4194304,882220748800
2026-07-22T03:34:56.840446+00:00,30,instance_005_logical_graph,1,1854853,2136832,11207476,4191976,4194304,882208636928
2026-07-22T03:36:04.001364+00:00,30,instance_005_logical_graph,1,1854853,2136988,11204664,4191976,4194304,882208604160
2026-07-22T03:37:11.227618+00:00,30,instance_005_logical_graph,1,1854853,2136988,11206696,4191976,4194304,882208563200
2026-07-22T03:38:18.471855+00:00,30,instance_005_logical_graph,1,1854853,2137008,11211320,4191976,4194304,882208534528
2026-07-22T03:39:25.716719+00:00,30,instance_005_logical_graph,1,1854853,2137996,11205984,4191976,4194304,882208493568
2026-07-22T03:40:32.889790+00:00,30,instance_005_logical_graph,1,1854853,2137996,11204008,4191976,4194304,882208464896
2026-07-22T03:41:36.544041+00:00,30,instance_005_logical_graph,1,1854853,2137996,11204216,4191976,4194304,882208428032
2026-07-22T03:42:43.702985+00:00,30,instance_005_logical_graph,1,1854853,2140608,11207160,4191976,4194304,882208399360
2026-07-22T03:43:35.900857+00:00,30,instance_005_logical_graph,1,1854853,0,13301412,4191976,4194304,882206932992
2026-07-22T03:43:36.168082+00:00,30,instance_006_logical_graph,1,2009553,6336,13306192,4191976,4194304,882206920704
2026-07-22T03:44:39.821607+00:00,30,instance_006_logical_graph,1,2009553,2278908,11068040,4191976,4194304,882206855168
2026-07-22T03:45:46.991050+00:00,30,instance_006_logical_graph,1,2009553,2214736,11129264,4191976,4194304,882193690624
2026-07-22T03:46:54.227211+00:00,30,instance_006_logical_graph,1,2009553,2212868,11129000,4191976,4194304,882193657856
2026-07-22T03:48:01.465830+00:00,30,instance_006_logical_graph,1,2009553,2212892,11124712,4191976,4194304,882193620992
2026-07-22T03:49:08.680279+00:00,30,instance_006_logical_graph,1,2009553,2212892,11129900,4191976,4194304,882193588224
2026-07-22T03:49:33.292187+00:00,30,instance_006_logical_graph,1,2009553,0,13300160,4191976,4194304,882192318464
2026-07-22T03:49:33.582609+00:00,30,instance_007_logical_graph,1,2093982,6092,13296680,4191976,4194304,882192306176
2026-07-22T03:50:37.203595+00:00,30,instance_007_logical_graph,1,2093982,1344784,12000544,4191976,4194304,882183118848
2026-07-22T03:51:46.171486+00:00,30,instance_007_logical_graph,1,2093982,1344832,11999876,4191976,4194304,882183090176
2026-07-22T03:52:53.324471+00:00,30,instance_007_logical_graph,1,2093982,1344836,11997732,4191976,4194304,882185990144
2026-07-22T03:53:56.941548+00:00,30,instance_007_logical_graph,1,2093982,1344836,11995872,4191976,4194304,882184118272
2026-07-22T03:55:05.880175+00:00,30,instance_007_logical_graph,1,2093982,1345364,11993336,4191976,4194304,882183151616
2026-07-22T03:55:44.481278+00:00,30,instance_007_logical_graph,1,2093982,0,13299188,4191976,4194304,882180714496
2026-07-22T03:55:44.769184+00:00,30,instance_008_logical_graph,1,2181656,5744,13302864,4191976,4194304,882180698112
2026-07-22T03:56:52.007116+00:00,30,instance_008_logical_graph,1,2181656,1993496,11352648,4191976,4194304,882180632576
2026-07-22T03:57:59.255168+00:00,30,instance_008_logical_graph,1,2181656,2124132,11217336,4191976,4194304,882180591616
