active_column_count,algorithm_status,best_reduced_cost,bpc_tree_optimal,certificate_scope,columns_added,end_to_end_stage_sum_sec,end_to_end_wall_time_sec,exact_certificate,final_judge_formulation_profile,final_judge_profile,final_judge_wall_time_sec,global_remaining_rc_lb,instance_index,instance_key,instance_path,mip_node_count,note,phase,pool_active_column_count,pool_added_column_count_last_stage,pool_build_wall_time_sec,pool_certified,pool_elapsed_stage_sum_sec,pool_phase_mode,pool_profile,pool_stage_count,pricing_proof_kind,pricing_state,profile,profile_phase_mode,result_json,round_count,row_wall_time_sec,simplex_iteration_count,source_probe_json,strict_from_json,tight_sequence_count,tight_sequence_max_reduction,tree_optimal,wall_time_sec
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_012,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_012_logical_graph.json,,,pool_build,39,5,60.082494,False,59.785464,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_012/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,12,instance_012,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_012_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.082494,,59.785464,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_012/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,12,instance_012,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_012_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,60.082494,,59.785464,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_012/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_013,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_013_logical_graph.json,,,pool_build,39,5,102.011133,False,101.734695,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_013/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,13,instance_013,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_013_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,102.011133,,101.734695,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_013/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,13,instance_013,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_013_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,102.011133,,101.734695,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_013/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_014,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_014_logical_graph.json,,,pool_build,39,5,139.23766,False,138.911639,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_014/stage_001/probe.json,True,,,,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,14,instance_014,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_014_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,139.23766,,138.911639,,,,,,V4S,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_014/stage_001/probe.json,True,,,False,
39,POOL_NOT_CERTIFIED,,False,,,,,False,,,,,14,instance_014,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_014_logical_graph.json,,pool was not certified; proof-only tree closure skipped,tree_closure,,,139.23766,,138.911639,,,,,,V4SZ,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_014/stage_001/probe.json,True,,,False,
,BPC_INCOMPLETE_PRICING,,,DIAGNOSTIC_PRICING_FRONTIER,,,,,,,,,,instance_015,/home/kai/work/GAT_BPC_moonTerk/data/instances/lunar_ice_sp50_030/instance_015_logical_graph.json,,,pool_build,39,5,101.266027,False,100.948574,proof_only,V4S,1,,INCOMPLETE_LIMIT,POOL,,,,,,/home/kai/work/GAT_BPC_moonTerk/runs/b4_1_v4s_v4sz_full30_from_json_strict_20x_20260710/pools/instance_015/stage_001/probe.json,True,,,,
